"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 14:14:58 CST 2023","Fri Nov 17 14:15:57 CST 2023","59723","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311171413-0-2-3]",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_touzixiangmuku_changqiguquan_xiangmujichuxinxishenbao","","","","test_jichuxinxi",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_chubuyusuan_changqiguquan","","","","test_zhengshiyusuan_changqiguquan",""
"failed","Fri Nov 24 18:03:06 CST 2023","Fri Nov 24 18:04:03 CST 2023","57208","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311241802-0-1-2]",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_changqiguquan_zongbujuece","","","","test_changqiguquan_zongbujuece",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_touzixiangmuku","","","","test_touzixiangmuku",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_chubuyusuan_gutou","","","","test_chubuyusuan_gutou",""
"broken","Fri Nov 17 10:48:27 CST 2023","Fri Nov 17 10:48:27 CST 2023","0","case.touzi","test_changqiguquan_lixiang","","","","test_changqiguquan_lixiang",""
"passed","Fri Nov 17 14:13:58 CST 2023","Fri Nov 17 14:14:58 CST 2023","59861","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311171413-0-1-3]",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_chubuyusuan_zengzi","","","","test_zhengshiyusuan_zengzi",""
"broken","Fri Nov 17 10:48:27 CST 2023","Fri Nov 17 10:48:27 CST 2023","529","case.touzi","test_button","","","","test_button",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_zhengshiyusuan_PPP","","","","test_zhengshiyusuan_PPP",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_zhengshiyusuan_changqiguquan","","","","test_zhengshiyusuan_changqiguquan",""
"passed","Fri Nov 17 13:37:17 CST 2023","Fri Nov 17 13:38:21 CST 2023","64094","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311171337-0]",""
"broken","Fri Nov 17 10:48:27 CST 2023","Fri Nov 17 10:48:27 CST 2023","190","case.touzi","test_changqiguquan_yukeyanbeian","","","","test_changqiguquan_yukeyanbeian",""
"passed","Fri Nov 17 14:15:57 CST 2023","Fri Nov 17 14:16:59 CST 2023","61597","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311171413-0-3-3]",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_zhengshiyusuan_zengzi","","","","test_zhengshiyusuan_zengzi",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","1","case.touzi","test_chubuyusuan_PPP","","","","test_chubuyusuan_PPP",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_chubuyusuan_jingjixingwei","","","","test_zhengshiyusuan_zengzi",""
"broken","Fri Nov 17 10:48:28 CST 2023","Fri Nov 17 10:48:28 CST 2023","0","case.touzi","test_zhengshiyusuan_gutou","","","","test_zhengshiyusuan_gutou",""
"failed","Fri Nov 24 18:05:00 CST 2023","Fri Nov 24 18:05:54 CST 2023","54197","case.touzi","test_lixiangbeian","","","","test_lixiangbeian[\u6d4b\u8bd5\u7acb\u9879-202311241802-0-2-2]",""
